Product & Geography Sales Metrics (CCL Supplier),,,,
Time:Week Ending 11-01-23,,,,
CCL Supplier:All CCL Suppliers,,,,
CCL Brand:All CCL Brands,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0013,Jarritos Soft Drink Hibiscus 370 Ml,00009047801264,31.96,6
0013,Annex Ginger Beer 355 Ml,00062850433305,31.96,6
0006,1642 Ginger Beer 750 Ml,00062805581928,29.98,3
0013,Cocacola Soft Drink Bottle 300 Ml,00006700001805,29.98,3
0013,1642 Ginger Beer 750 Ml,00062805581928,29.98,3
0006,Philips Soda Cola All Natural 355 Ml,00081827801902,27.98,3
0006,Stewart Soda Black Cherry 355 Ml,00009879401039,27.98,3
0006,Teja Soda Masala 250 Ml,00006033511384,27.98,3
0013,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,27.98,3
0013,Crush Soda Pineapple 2L 2000 Ml,00005600001347,27.98,3
0006,Mountain Dew Diet 591 Ml,00006900006058,25.98,3
0013,Candry Ginger Ale Cbry 355Ml 355 Ml,00006210001248,25.98,3
0006,Pepsi Zero Sugar 1332 Ml,00006900015936,23.98,3
0013,Cocacola Diet 2000 Ml,00006700001897,21.98,3
0013,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,21.98,3
0006,Brio Chinotto Can 355 Ml,00005995751630,19.98,3
0013,Grizzlypaw Black Cherry Cola 1420 Ml,00018244001196,19.98,3
0006,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,19.58,3
0013,Dads Root Beer 4 Ea,00083362701040,19.58,3
0013,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,19.58,3
0013,Jarritos Soft Drink Tamarind 370 Ml,00009047842002,15.98,3
0013,Jarritos Grapefruit Soft Drink 370 Ml,00009047842007,14.98,3
0006,Drpepper Diet 355 Ml,00005490001030,0,0
0006,A&W Root Beer 1332 Ml,00005953101282,0,0
0006,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,0,0
0006,Fentiman Ginger Beer 275 Ml,00502939601031,0,0
0006,Jarritos Soft Drink S/Bry Frt 370 Ml,00009047842009,0,0
0006,Cocacola Softdrink Zero Cherry 355 Ml,00006700001819,0,0
0006,Cocacola Zero Sugar Ultimate 500 Ml,00006700002159,0,0
0006,Cocacola Diet Caff/Free Can 355 Ml,00006700001929,0,0
0006,Cocacola Zero Sugar Zero Caff 355 Ml,00006700002116,0,0
0006,Fevertre Ginger Beer 200Ml 800 Ml,00089819501127,0,0
0006,Cocacola Zero Sugar Move 300 Ml,00006700001017,0,0
0006,Jonesoda Pineapple Cream Soda 355 Ml,00062022121013,0,0
0006,Crystal Pepsi 591 Ml,00006900017000,0,0
0006,Phillips Soda Spitfire Gngrale 355 Ml,00081827801904,0,0
0006,Cocacola Zero Sugar 250 Ml,00006700001920,0,0
0006,Pepsi Diet 355 Ml,00006900002078,0,0
0006,Sprite Zero 4260 Ml,00006700001387,0,0
0006,Dandypop Drink Sour Peach 355 Ml,00062850424960,0,0
0006,Crush Birch Beer 591Ml 591 Ml,00005600001547,0,0
0006,Cocacola Zero Sugar Dreamworld 500 Ml,00006700002146,0,0
0006,Maguary Cashew Juice 1000 Ml,00789600054035,0,0
0006,Fevertre Tonic Water Light 800 Ml,00506010846023,0,0
0006,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,0,0
0006,Fevertre Water Tonic 800 Ml,00089819501101,0,0
0006,Pepsi Diet Pl 24X355Ml 355 Ml,00006900002124,0,0
0006,Reeds Ginger Brew Extra 355 Ml,00003391901007,0,0
0006,Fanta Orange Can 355 Ml,00006700001433,0,0
0006,Sprite Zero 355 Ml,00006700001461,0,0
0006,Mug Rootbeer Diet 355Ml 12Pk 4260 Ml,00006900005077,0,0
0006,Pepsi Zero Sugar 355 Ml,00006900016900,0,0
0006,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,0,0
0006,Cocacola Zero 4260 Ml,00006700011746,0,0
0006,Gurds Soda Tonic Water 1000 Ml,00005749602147,0,0
0006,7Up Cans 355Ml 12Pk 4260 Ml,00006540001159,0,0
0006,Grizzlypaw Cream Soda 1420 Ml,00018244001195,0,0
0006,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,0,0
0006,Sprite Soft Drink Lymonade 355 Ml,00006700002166,0,0
0006,Canaddry Gng Ale Crft Prem 237 Ml,00006210001133,0,0
0006,Big8 Soda Big Up 355 Ml,00006448001303,0,0
0006,Big8 Tonic Diet 355 Ml,00006448001808,0,0
0006,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,0,0
0006,Grizzlypaw Root Beer 1420 Ml,00087452801001,0,0
