Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 110624,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 15,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,89.9,15
Store 15,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,33.98,3
Store 15,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,55.96,6
Store 15,Comp Soft Drink Cola 1332 Ml,00005574255844,219.8,30
Store 15,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 15,Cocacola Classic 8520 Ml,00006700002011,35.98,3
Store 15,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,12.98,3
Store 15,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,38.94,9
Store 15,Dads Root Beer 4 Ea,00083362701040,25.96,6
Store 16,Canaddry Gingerale 1332 Ml,00006210001144,39.96,6
Store 16,Pepsi 1332 Ml,00006900015902,19.98,3
Store 16,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,59.94,9
Store 16,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,23.98,3
Store 16,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 16,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,161.82,27
Store 16,Pepsi Throwback 355 Ml,00006900002088,29.94,9
Store 16,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,33.98,3
Store 16,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,35.94,9
Store 16,Fevertre Tonic Water Light 800 Ml,00506010846023,23.96,6
Store 16,Big8 Soda Orange 355 Ml,00006448001802,19.98,3
Store 16,Fevertre Water Tonic 800 Ml,00089819501101,39.96,6
Store 16,A&W Root Beer 1332 Ml,00005953101282,43.96,6
Store 16,Cocacola Classic 8520 Ml,00006700002011,275.82,27
Store 16,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,12.98,3
Store 16,Dads Root Beer 4 Ea,00083362701040,12.98,3
Store 16,Pepsi 1000 Ml,00006900001982,53.82,27
Store 16,Marble Pop Blueberry 200 Ml,00007441078814,17.94,9
Store 17,7Up Soft Drink Diet 1332 Ml,00006540001808,47.96,6
Store 17,Canaddry Gingerale 355 Ml,00006210001893,23.88,18
Store 17,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,269.7,45
Store 17,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,33.98,3
Store 17,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,131.94,9
Store 17,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,83.86,21
Store 17,Big8 Soda Orange 355 Ml,00006448001802,65.94,9
Store 17,Fevertre Water Tonic 800 Ml,00089819501101,19.98,3
Store 17,Comp Soft Drink Cola 1332 Ml,00005574255844,43.96,6
Store 17,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 17,A&W Root Beer 1332 Ml,00005953101282,43.96,6
Store 17,Cocacola Classic 8520 Ml,00006700002011,353.8,30
Store 17,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,25.96,6
Store 17,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,38.94,9
Store 17,Dads Root Beer 4 Ea,00083362701040,12.98,3
Store 17,Fentimans Ginger Beer 800 Ml,00502939601222,38.94,9
Store 18,Canaddry Gingerale 1332 Ml,00006210001144,79.92,12
Store 18,Pepsi 1332 Ml,00006900015902,179.82,27
Store 18,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,39.96,6
Store 18,Pepsi Multipack 4260 Ml,00006900001984,37.98,3
Store 18,Canaddry Gingerale 355 Ml,00006210001893,55.72,42
Store 18,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,35.96,6
Store 18,Pepsi Throwback 355 Ml,00006900002088,9.98,3
Store 18,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,55.96,6
Store 18,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,35.94,9
Store 18,Fevertre Tonic Water Light 800 Ml,00506010846023,11.98,3
Store 18,Fevertre Water Tonic 800 Ml,00089819501101,19.98,3
Store 18,Comp Soft Drink Cola 1332 Ml,00005574255844,65.94,9
Store 18,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,65.94,9
Store 18,Cocacola Classic 8520 Ml,00006700002011,143.92,12
Store 18,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,12.98,3
Store 18,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,12.98,3
Store 18,Dads Root Beer 4 Ea,00083362701040,12.98,3
Store 18,Fentimans Ginger Beer 800 Ml,00502939601222,25.96,6
Store 18,Pepsi 1000 Ml,00006900001982,5.98,3
Store 18,Cocacola Zero 500 Ml,00006700001463,35.88,18
Store 18,Marble Pop Blueberry 200 Ml,00007441078814,11.96,6
Store 19,7Up Soft Drink Diet 1332 Ml,00006540001808,47.96,6
Store 19,Canaddry Gingerale 355 Ml,00006210001893,19.9,15
Store 19,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,101.94,9
Store 19,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 19,Fevertre Tonic Water Light 800 Ml,00506010846023,11.98,3
Store 19,Fevertre Water Tonic 800 Ml,00089819501101,19.98,3
Store 19,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 19,Cocacola Classic 8520 Ml,00006700002011,65.96,6
Store 21,Pepsi 1332 Ml,00006900015902,39.96,6
Store 21,Pepsi Multipack 4260 Ml,00006900001984,37.98,3
Store 21,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,23.98,3
Store 21,Canaddry Gingerale 355 Ml,00006210001893,15.92,12
Store 21,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,71.92,12
Store 21,Pepsi Throwback 355 Ml,00006900002088,9.98,3
Store 21,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,33.98,3
Store 21,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,11.98,3
Store 21,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 21,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 21,Cocacola Classic 8520 Ml,00006700002011,29.98,3
Store 22,Canaddry Gingerale 355 Ml,00006210001893,47.76,36
Store 22,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,17.98,3
Store 22,Fevertre Tonic Water Light 800 Ml,00506010846023,11.98,3
Store 22,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 22,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 22,A&W Root Beer 1332 Ml,00005953101282,21.98,3
Store 22,Cocacola Classic 8520 Ml,00006700002011,101.94,9
Store 23,7Up Soft Drink Diet 1332 Ml,00006540001808,23.98,3
Store 23,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 23,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,83.94,9
Store 23,Comp Soft Drink Cola 1332 Ml,00005574255844,65.94,9
Store 23,A&W Root Beer 1332 Ml,00005953101282,43.96,6
Store 23,Cocacola Classic 8520 Ml,00006700002011,65.96,6
Store 24,Pepsi Multipack 4260 Ml,00006900001984,37.98,3
Store 24,Canaddry Gingerale 355 Ml,00006210001893,111.44,84
Store 24,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,107.88,18
Store 24,Pepsi Throwback 355 Ml,00006900002088,9.98,3
Store 24,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,83.94,9
Store 24,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,119.8,30
Store 24,Big8 Soda Orange 355 Ml,00006448001802,43.96,6
Store 24,Fevertre Water Tonic 800 Ml,00089819501101,19.98,3
Store 24,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 24,Cocacola Classic 8520 Ml,00006700002011,311.82,27
Store 24,Dads Root Beer 4 Ea,00083362701040,12.98,3
Store 24,1642 Tonic Water 750 Ml,00062805581917,5.98,3
Store 25,Canaddry Gingerale 1332 Ml,00006210001144,19.98,3
Store 25,7Up Soft Drink Diet 1332 Ml,00006540001808,47.96,6
Store 25,Canaddry Gingerale 355 Ml,00006210001893,127.36,96
Store 25,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,35.96,6
Store 25,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,55.96,6
Store 25,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,107.82,27
Store 25,Comp Soft Drink Cola 1332 Ml,00005574255844,43.96,6
Store 25,Cocacola Classic 8520 Ml,00006700002011,251.86,21
Store 25,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,38.94,9
Store 25,Grizzlypaw Black Cherry Cola 1420 Ml,00018244001196,17.98,3
Store 25,1642 Tonic Water 750 Ml,00062805581917,11.96,6
Store 25,Pepsi 1000 Ml,00006900001982,65.78,33
Store 25,Cocacola Zero 500 Ml,00006700001463,5.98,3
Store 25,Marble Pop Blueberry 200 Ml,00007441078814,35.88,18
Store 26,Canaddry Gingerale 1332 Ml,00006210001144,19.98,3
Store 26,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,39.96,6
Store 26,7Up Soft Drink Diet 1332 Ml,00006540001808,47.96,6
Store 26,Canaddry Gingerale 355 Ml,00006210001893,79.6,60
Store 26,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,71.92,12
Store 26,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,27.98,3
Store 26,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 26,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,95.84,24
Store 26,Fevertre Tonic Water Light 800 Ml,00506010846023,35.94,9
Store 26,Comp Soft Drink Cola 1332 Ml,00005574255844,65.94,9
Store 26,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 26,Cocacola Classic 8520 Ml,00006700002011,35.98,3
Store 26,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,25.96,6
Store 26,Dads Root Beer 4 Ea,00083362701040,64.9,15
Store 26,Pepsi 1000 Ml,00006900001982,11.96,6
Store 26,Cocacola Zero 500 Ml,00006700001463,5.98,3
Store 27,Canaddry Gingerale 355 Ml,00006210001893,47.76,36
Store 27,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,35.96,6
Store 27,Pepsi Throwback 355 Ml,00006900002088,9.98,3
Store 27,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,55.96,6
Store 27,Fevertre Tonic Water Light 800 Ml,00506010846023,95.84,24
Store 27,Fevertre Water Tonic 800 Ml,00089819501101,19.98,3
Store 27,Comp Soft Drink Cola 1332 Ml,00005574255844,43.96,6
Store 27,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,43.96,6
Store 27,A&W Root Beer 1332 Ml,00005953101282,21.98,3
Store 27,Cocacola Classic 8520 Ml,00006700002011,29.98,3
Store 27,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,25.96,6
Store 27,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,38.94,9
Store 27,Dads Root Beer 4 Ea,00083362701040,38.94,9
Store 27,Marble Pop Blueberry 200 Ml,00007441078814,17.94,9
Store 28,7Up Soft Drink Diet 1332 Ml,00006540001808,47.96,6
Store 28,Pepsi Multipack 4260 Ml,00006900001984,75.96,6
Store 28,Canaddry Gingerale 355 Ml,00006210001893,27.86,21
Store 28,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,71.92,12
Store 28,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,33.98,3
Store 28,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,27.98,3
Store 28,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 28,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,23.96,6
Store 28,Fevertre Tonic Water Light 800 Ml,00506010846023,11.98,3
Store 28,Fevertre Water Tonic 800 Ml,00089819501101,99.9,15
Store 28,Comp Soft Drink Cola 1332 Ml,00005574255844,43.96,6
Store 28,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,109.9,15
Store 28,Cocacola Classic 8520 Ml,00006700002011,179.9,15
Store 28,1642 Tonic Water 750 Ml,00062805581917,17.94,9
Store 29,Canaddry Gingerale 1332 Ml,00006210001144,19.98,3
Store 29,Pepsi Multipack 4260 Ml,00006900001984,37.98,3
Store 29,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,179.8,30
Store 29,Pepsi Throwback 355 Ml,00006900002088,19.96,6
Store 29,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,33.98,3
Store 29,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,55.96,6
Store 29,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 29,Fevertre Tonic Water Light 800 Ml,00506010846023,83.86,21
Store 29,Fevertre Water Tonic 800 Ml,00089819501101,39.96,6
Store 29,Comp Soft Drink Cola 1332 Ml,00005574255844,43.96,6
Store 29,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 29,A&W Root Beer 1332 Ml,00005953101282,21.98,3
Store 29,Cocacola Classic 8520 Ml,00006700002011,359.8,30
Store 29,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,25.96,6
Store 29,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,12.98,3
Store 29,Fentimans Ginger Beer 800 Ml,00502939601222,12.98,3
Store 29,Pepsi 1000 Ml,00006900001982,5.98,3
Store 31,Canaddry Gingerale 1332 Ml,00006210001144,39.96,6
Store 31,Pepsi 1332 Ml,00006900015902,19.98,3
Store 31,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,19.98,3
Store 31,7Up Soft Drink Diet 1332 Ml,00006540001808,23.98,3
Store 31,Canaddry Gingerale 355 Ml,00006210001893,103.48,78
Store 31,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,269.7,45
Store 31,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,67.96,6
Store 31,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,83.94,9
Store 31,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,119.8,30
Store 31,Big8 Soda Orange 355 Ml,00006448001802,21.98,3
Store 31,Fevertre Water Tonic 800 Ml,00089819501101,19.98,3
Store 31,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 31,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 31,A&W Root Beer 1332 Ml,00005953101282,21.98,3
Store 31,Cocacola Classic 8520 Ml,00006700002011,215.88,18
Store 31,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,25.96,6
Store 31,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,38.94,9
Store 31,Dads Root Beer 4 Ea,00083362701040,38.94,9
Store 31,Fentimans Ginger Beer 800 Ml,00502939601222,38.94,9
Store 31,Fentiman Connoisseur Tonic 800 Ml,00502939601225,35.96,6
Store 31,1642 Tonic Water 750 Ml,00062805581917,35.88,18
Store 31,Pepsi 1000 Ml,00006900001982,41.86,21
Store 31,Drpepper Cans 355 Ml,00005490004007,5.98,3
Store 31,Cocacola Zero 500 Ml,00006700001463,29.9,15
Store 31,Marble Pop Blueberry 200 Ml,00007441078814,11.96,6
Store 32,Canaddry Gingerale 1332 Ml,00006210001144,99.9,15
Store 32,Pepsi 1332 Ml,00006900015902,19.98,3
Store 32,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,19.98,3
Store 32,7Up Soft Drink Diet 1332 Ml,00006540001808,119.9,15
Store 32,Canaddry Gingerale 355 Ml,00006210001893,47.76,36
Store 32,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,89.9,15
Store 32,Pepsi Throwback 355 Ml,00006900002088,19.96,6
Store 32,Favuzzi Soda Siciln Bld Orange 275 Ml,00083266101043,27.98,3
Store 32,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,55.96,6
Store 32,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 32,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,71.88,18
Store 32,Comp Soft Drink Cola 1332 Ml,00005574255844,131.88,18
